Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
NVIDIA GeForce 9800M GTS,NB9E-GT,G9x,600,,800,256,GDDR3,1024,10,,65,5631,~23.613%,,,,,,,,,,4060,9501.5n2,36940,,,,,,,,,,,,
AMD Radeon HD 6830M,Granville-LP,Terascale 2,575,,900,128,"DDR3, GDDR3",1024,11,,40,4725,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 5830,Broadway,Terascale 2,500,,800,128,"DDR3, GDDR3",1024,11,,40,5090,~88%,,,,,,,,,,4785n2,8050n3,,,,,,,,,,,,,
AMD Radeon HD 6730M,Whistler-XT,Terascale 2,725,,800,128,DDR3,,11,,40,4728,~521%,,,,1269,1141,,,,,4438,7918,,,,,,,,,,,7282,,
NVIDIA GeForce 9800M GS,NB9E-GS1,G9x,530,,800,256,GDDR3,1024,10,,55,5522,~14.817%,,,,,,,,,,3245,8449.5n4,28740.5n2,,,,,,,,,,3684n3,,
ATI Mobility Radeon HD 4830,M97,Terascale 1,550,,700,128,"GDDR3, DDR3",,10.1,,40,5400,~5.713%,,,,,,,,,,3863,7155,,,,,,,,,,,4250,,
ATI Mobility Radeon HD 5770,Madison-XT,Terascale 2,650,,800,128,GDDR5,,11,,40,5090,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6570M,Capilano,Terascale 2,650,,900,128,"DDR3, GDDR5",1024,11,,40,4767,~4.821%,,,,1216,1067,,,,,4107,7553,,,,,,,,,,,7319,,
AMD Radeon HD 8650G,Richland,Terascale 3,533,720,,,,,11,4.2,32,3880,~3.563%,71794,4180n3,6453n3,1479.5n6,1433n5,834n3,905n3,,,4689n2,6732.5n2,,100,,,,,,10.9,,33n3,5411,983,84
AMD Radeon HD 7670M,Thames XT,Terascale 2,600,,1800,128,"DDR3, (GDDR5)",,11,4.1,40,4574,~5.450%,,5267n3,6535n3,1186.5n14,1061.5n14,805n3,824n3,,,4995n14,8203n15,16914,,,,,,,,,,6696n13,771,206
NVIDIA GeForce GT 630M,N13P-GL/GL2,Fermi,672,,1800,128,DDR3,,11,4.0,28,4392,~4.958%,58812,4641n4,5577n4,1168n27,1035n26,674n3,719n3,,,4868.5n22,8610n26,14216.5n2,,,,,,,10,,,5865n24,588n2,122
NVIDIA GeForce GTS 150M,N10E-GE1,G9x,400,,800,256,GDDR3,1024,10.0,,55,5401,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R5 M335,Exo XT DDR3,GCN 1.0,1070,,2200,64,DDR3,4096,12,4.3,28,3104,~3.467%,70485,4167,4590,1889,1784,824,911,,,4772,5921,,73.1,21.5,19.4,,,,,,30.91,8555,1497,291
AMD Radeon R5 M330,Exo Pro DDR3,GCN 1.0,1030,,2000,64,DDR3,,12,4.3,28,3144,~3.346%,,4427n7,4897n7,1782n7,1689n7,843n7,922n7,,,,5972n2,,,,,,,,,,27.96n7,6386n7,690,597
AMD Radeon R5 M430,Mars,GCN,955,,1746,64,DDR3,,12 (11_1),4.3,28,2784,~3.163%,,4744,5493n2,1821.5n2,1689n2,899,1004n2,,,4697,6246,,77,23.5,21,,,,,,29.85n2,7430n2,1219,699
AMD Radeon R5 M255,Topaz Pro / Sun,GCN,940,,1800 - 2000,64,DDR3,4096,12,4.3,28,3515,~3.654%,,4859n5,6053n5,1907n5,1784n5,980n4,1080.5n4,,,5399,8935,,,16.9,,,,,,,34.68n5,5647.5n4,1073,292
AMD Radeon RX Vega 3,Vega Raven Ridge,Vega,600,1200,,,,,12_1,,14,2168,~3.788%,80755n12,6044n16,8536n16,1947n15,1723.5n14,1065.5n16,1171.5n16,441.5n10,393n11,5440.5n2,11103n5,,64.5n2,23n2,19.05n2,43,,,13.9,4.4,28.19n16,7401n7,1008n2,346n2
NVIDIA Quadro 1000M,Fermi,Fermi,700,,900,128,DDR3,2048,11,,40,4679,~13.925%,,,,1064,943,,,,,4566,8509n3,40779,,,,,,,,,,6771,,
NVIDIA GeForce 910M,N15V-GM,Kepler,641,,2000,64,DDR3,2048,12 (FL 11_0),,28,3027,~371%,42738,3677,6636,1432,1413,913,1022,,,4325,6741,,78.7,42.6,30.9,,,,14.4,,23.99,2500,929,189
NVIDIA GeForce 820M,N15V-GM,Fermi,775,,1800,64,DDR3,2048,12 (FL 11_0),,28,3629,~3.450%,,4520.5n10,6073.5n10,1383n11,1266.5n10,829n9,897n9,,,5105.5n4,7518n5,,,,,,,,,,35.63n12,5557n8,718n2,379.5n2
Intel HD Graphics 520,Skylake GT2,Gen. 9 Skylake,300,1050,,64/128,DDR3/DDR4,,12_1,4.4,14,3027,~5.179%,73656n21,5357.5n114,6700.5n114,1435.5n130,1293.5n130,752n98,803.5n98,297,263,5722n5,8656n27,23728.5n2,87.15n4,39.4n4,26.4n2,,,,,,37n118,7578n68,852n10,474n4
Intel Iris Graphics 6100,Broadwell GT3,Gen. 8 Broadwell,300,1100,,64/128,,,12 (FL 11_1),4.3,14,3266,~4.171%,89341,6141n5,7798n4,1768n5,1694.5n4,864.5n4,874n3,425,377,6531,8764n3,,102.1,48.8,,,,,,,36.43n5,7832.5n4,1115,390
Intel UHD Graphics G4 (Lakefield GT1 48 EU),Lakefield GT1,Gen. 11 Ice Lake,200,500,,,DDR4,,12_1,4.5,10,1296,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GT 720M,N14M-GE,Fermi,625,938,1800 - 2000,64,DDR3,2048,11,,28,3910,~4.667%,59694,4522n6,5426n6,1321n5,1213n5,779n5,822n5,,,4584.5n4,7896n5,15036,50,,,,,,11.6,,36.01n4,5824n5,678.5n2,239n2
NVIDIA GeForce 8800M GTS,NB8E-GT,G9x,500,,800,256,GDDR3,512,10,,65,5870,~14.417%,,,,,,,,,,2552,8385n3,28301n2,,,,,,,,,,3164,,
AMD Radeon R5 M240,Jet XT / Sun,GCN,1030,,1800,64,DDR3,,11.2,,28,3392,~3.154%,,4338.5n2,5500n2,1669n2,1588n2,871.5n2,949n2,,,5066,5698n2,,,23.5,,,,,,,26.89n2,4578n2,1152,411
AMD Radeon R5 M320,Exo UL/ULT/ULP,GCN 2.0,855,,2000,64,DDR3,,12,4.3,28,3144,~3.721%,45756,3695,4969,1660,1652,,,,,,,,,,,,,,,,,,,
AMD Radeon R5 M230,Jet / Sun,GCN,855,,1800 - 2000,64,DDR3,4096,12,4.3,28,3629,~338%,,3899n3,4814n3,1302n3,1175n3,720n3,771n3,,,,5145,,,,,,,,,,23.67,6314n2,,
AMD Radeon R5 M315,Meso LE (DDR3),GCN,970,,1800,64,DDR3,2048,12,4.3,28,3104,~2.28%,,,5040,,,,920,,,,,,,,,,,,,,,,,
AMD Radeon R5 M420,Jet,GCN,780,,2000,64,DDR3,4096,12,4.3,28,2753,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon RX Vega 2,Vega Raven Ridge,Vega,,1100,,,,,12_1,,12,2168,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R5 (Stoney Ridge),Stoney Ridge,GCN 1.2/2.0,,800,,64,,,12 (FL 12_0),4.4,28,2753,~2.479%,51382n3,2995n3,4755n3,1263n4,1264n4,712n3,772n3,281.5n2,254.5n2,3346,5174n2,,67.8,21.8,20.4,,,,13.7,,22.97n4,3773n4,597n2,124
ATI Mobility Radeon HD 5750,Madison-XT,Terascale 2,550,,1600,128,"DDR, GDDR3, GDDR5",1024,11,,40,5090,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 8570M,,GCN,650,,1800 - 2000,64,DDR3,,11.1,,28,4046,~346%,,3958n3,4867n3,1364n3,1255n3,732n3,790n3,,,4365,5650n2,,,,,,,,,,16.99,5829n3,,258
Intel HD Graphics 6000,Broadwell GT3,Gen. 8 Broadwell,300,1000,,64/128,,,12 (FL 11_1),4.3,14,3266,~3.467%,,5872n5,7660n4,1513.5n4,1395.5n4,903n3,951n3,374,334,6188n3,8091n3,,,39.46n2,,,,,,3.7,30.69n6,6527n3,1021n3,350n3
NVIDIA Quadro K610M,,Kepler,954,,2600,64,GDDR5,1024,11,4.3,28,3797,~3.846%,,6051.5n2,5837.5n2,1294.5n2,1143.5n2,712.5n2,755.5n2,,,5116n2,8157,,,,,,,,9.4,,,6823.5n2,,48
AMD Radeon HD 8550M,,GCN,700,,1800,64,DDR3,,11.1,,28,4046,~3.621%,,,,1242,1307,,,,,3705,4700,,,,,,,,11.2,,,,,
Intel Iris Graphics 5100,Haswell GT3,Gen. 7.5 Haswell,200,1200,,64/128,,,11.1,4.0,22,3845,~3.667%,71489,4950n4,6943.5n4,1245.5n4,1151n4,823n4,878.5n4,,,5865,6928.5n4,,83.5n2,,,16.3,,,13.9,,21.4n3,6817.5n4,1062n2,419.5n2
NVIDIA GeForce GT 540M,N12P-GS,Fermi,672,,900,128,"GDDR5, DDR3",1536,11,,40,4726,~11.725%,,,,989n37,888n35,,,,,4355n43,7986n41,32969n4,,,,,,,,,,5441n45,,
AMD Radeon HD 6650M,Whistler-PRO,Terascale 2,600,,900,128,DDR3,,11,,40,4728,~13.625%,,,,1158n7,1037n7,,,,,4050.5n6,7307n5,40671,,,,,,,,,,6775.5n6,,
Intel HD Graphics 4600,Haswell GT2,Gen. 7.5 Haswell,200,1350,,64/128,,,11.1,4.0,22,3849,~6.667%,42242.5n2,5040.5n28,5613n28,1041n26,910.5n26,592.5n24,635.5n24,,,5203n15,7362n14,38441,78,,,,,,14.35n2,,18.8n17,7168.5n22,767n5,284.5n4
ATI Mobility Radeon HD 5730,Madison,Terascale 2,650,,800,128,"DDR3, GDDR3",,11,,40,5090,~1317%,,,,,,,,,,3809n5,7265n3,23762n3,,,,,,,,,,5418.5n8,,
Intel HD Graphics 5500,Broadwell GT2,Gen. 8 Broadwell,300,950,,64/128,,,12 (FL 11_1),4.3,14,3266,~379%,58776n8,4790.5n72,5544n61,1079.5n72,979n65,634.5n62,663n53,289,255,4798n13,6998n22,,70.9n5,30.6n5,,105,,,9.3,,25.35n64,5270.5n52,695n11,328n13
Qualcomm Adreno 630,,,,,,,,,12,ES 3.2,10,2132,~3.138%,81385.5n28,3108,6347,,,770,821,,,,,,150n28,75n27,58n28,,,,,,,257,,
Intel UHD Graphics (Jasper Lake 32 EU),Gen. 11,Gen. 11,350,900,,,,,12_1,4.5,10,1068,~3.483%,72158n4,5531.5n6,6977n5,1652n5,1589n5,982n7,1016n6,372n5,330n5,6316.5n2,6074n3,,91.2n2,53.7n2,33.95n2,,,,12.6,4.55n2,31.59n7,6561n4,1012.5n4,387n4
Intel UHD Graphics (Elkhart Lake 32 EU),Gen. 11,,400,850,,,,,12_1,4.5,10,1068,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R5 (Carrizo),Carrizo,GCN 1.2/2.0,,800,,64/128,,,12 (FL 12_0),4.4,28,3116,~2.833%,,4365,5804,1686,1711,898,1001,,,,,,,,,,,,,,25.12,4880,,
Intel UHD Graphics 617,Kaby-Lake GT2,Gen. 9 Amber Lake,300,1150,,64/128,DDR3L/LPDDR3,,12_1,4.4,14,1872,~4.246%,77156,4841,7231,1671.5n2,1540.5n2,889.5n2,997n2,337n3,300n3,,8662,,,,,,,,,,39.1n2,,,
Intel UHD Graphics 615,Kaby-Lake GT2,Gen. 9 Amber Lake,300,1000,,64/128,DDR3L/LPDDR3,,12_1,4.4,14,1933,~375%,60419.5n6,4660n9,6602n9,1312.5n10,1221n10,751n10,842.5n10,275n6,242.5n6,3813,6601.5n2,,67.3n2,34.42n2,23.22n2,,,,,,35.49n10,6378n4,860,473
Intel UHD Graphics (Jasper Lake 24 EU),Gen. 11,Gen. 11,350,800,,,,,12_1,4.5,10,1068,~2.938%,,6659,8388,1654,1458,1043,1106,355,312,,,,,,,,,,,,36.9,,,
Intel HD Graphics 615,Kaby-Lake GT2,Gen. 9 Kaby Lake,300,1050,,64/128,DDR3L/LPDDR3,,12_1,4.4,14,2663,~13.588%,70743n11,4893n13,6387n13,1362.5n14,1242.5n14,762n11,853n11,296.5n6,261n6,4102n2,7399n5,19381,76.3,,42.7,38.3,42892,33662,,,34.97n13,6470n7,693n4,369n3
AMD Radeon R5 (Kaveri),Kaveri,GCN 1.1,514,626,,64/128,,,12 (FL 12_0),,28,3481,~254%,,2594,3959,1020n2,901,527,572,,,3011,4317,,,14.4,,,,,,,18.03,3611,520,183
ATI FirePro M5800,Madison,Terascale 2,650,,800,128,"DDR3, GDDR5",1024,11,,40,5037,~78%,,,,,,,,,,3760,7237n3,,,,,,,,,,,,,
NVIDIA NVS 5400M,N13P-NS1,Fermi,660,,1800,128,DDR3,2048,11,4.0,40,4214,~5.321%,,,,1260.5n2,1119n2,,,,,5197.5n2,9192.5n2,,,,,,,,,,,6012n2,,
NVIDIA GeForce 710M,N14M-GL,Fermi,775,800,1800,64,DDR3,2048,11,,28,3910,~5.442%,,4389.5n2,5323n2,1226n2,1106.5n2,726n2,768.5n2,,,4641n2,7993n2,13110,,,,,,,,,,6193n2,,
AMD Radeon HD 7660G,Trinity,Terascale 3,497,686,,,,,11,4.2,32,4231,~5.658%,65558,4190n2,6408.5n2,1147n3,1057n2,,,,,4523n2,7317n2,22817,93,,,,,,,4.5,30.3n4,5576.5n2,771,179
NVIDIA GeForce GT 435M,N11P-GT,Fermi,650,,800,128,DDR3,,11,,40,4851,~11.925%,,,,896.5n2,799n2,,,,,3869.5n2,7510.5n2,35402,,,,,,,,,,4567n3,,
Intel HD Graphics 5000,Haswell GT3,Gen. 7.5 Haswell,200,1100,,64/128,,,11.1,4.0,22,3845,~3.267%,65904,4496.5n8,5693.5n8,1125.5n10,1033.5n10,651n6,715.5n6,,,4276.5n6,5940n6,,72.5n2,22.5,,,,,12.1,,27.4n2,6946.5n8,816.5n2,306n3
NVIDIA Quadro K510M,,Kepler,846,,2400,64,GDDR5,1024,11,4.3,28,3797,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6550M,Capilano-PRO,Terascale 2,600,,800,128,DDR3,1024,11,,40,4767,~1125%,,,,1100n3,993n3,,,,,3731n2,7143n2,31250.5n2,,,,,,,,,,5286n3,,
AMD Radeon HD 7590M,Thames XT,Terascale 2,600,,3200,64,,1024,11,,40,4359,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTS 350M,n11e-ge1,GT2xx,500,,1600,128,"DDR3, GDDR3, GDDR5",1024,10.1,,40,5090,~12.24%,,,,,,,,,,,8303.5n2,,,,,,,,,,,,,
NVIDIA GeForce GTS 250M,N10E-GE,GT2xx,500,,1600,128,"DDR3, GDDR3, GDDR5",1024,10.1,,40,5296,~1617%,,,,,,,,,,3659n6,7484n5,32373,,,,,,,,,,4451n5,,
AMD Radeon HD 6630M,Whistler-LP,Terascale 2,485,,800,128,DDR3,,11,,40,4728,~4.221%,,,,990n12,877n11,,,,,3720n13,6934n11,,,,,,,,,,,5952n11,,
AMD Radeon HD 7650M,Thames-LP/Pro,Terascale 2,450,550,1800,128,DDR3,,11,,40,4360,~4.621%,,,,1058.5n6,945.5n6,,,,,4562.5n6,7333n6,,,,,,,,,,,6705n6,,
AMD FirePro M2000,Turks GLM,Terascale 2,500,,3200,64,GDDR5,1024,11.1,4.2,40,4184,~4.321%,,,,954,841,,,,,3956,6086,,,,,,,,,,,8471,,
AMD Radeon HD 7570M,Thames-Pro / XT,Terascale 2,450,650,3200 / 1800,64,GDDR5 / DDR3,,11,,40,4360,~3.146%,,4329,4623,926n7,829n7,562,569,,,3727n6,5998.5n6,,,,,,,,8.5,,,8310.5n6,,155
AMD Radeon HD 7630M,Thames-LP,Terascale 2,450,,1800,128,DDR3,,11,,40,4360,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA Quadro FX 1800M,,GT2xx,560,,1100,128,"DDR3, GDDR5",1024,10.1,,40,5065,~7.18%,,,,,,,,,,3451.5n2,7572.5n2,,,,,,,,,,,,,
ATI Mobility Radeon HD 5650,Madison Pro,Terascale 2,450,650,800,128,"GDDR3, DDR3",1024,11,,40,5090,~6.546%,,4341,6036,955n2,855.5n2,706,730,,,3188n29,6469n25,26832n12,,,,,,,9.9,,,4846.5n30,,
AMD Radeon HD 8510G,Trinity,TeraScale 3,450,554,,,,,11,4.2,32,3858,~2.24%,,,,1100,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 6530M,Capilano-LP,Terascale 2,500,,800,128,DDR3,1024,11,,40,4767,~6.78%,,,,,,,,,,3334,7119.5n2,,,,,,,,,,,,,
AMD Radeon HD 8550G,Richland,Terascale 3,515,720,,,,,11,4.2,32,3930,~3.363%,67801,4060,6107,1280,1179,746,792,,,4174,7314,,87,,,,,,10.8,,28.9,5224,575,132
NVIDIA Quadro K500M,N14M-Q1,Kepler,850,,1800,64,DDR3 / GDDR5,2048,11,4.3,28,4214,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GT 625M,N13M-GS,Fermi,625,,1800,64,DDR3,1024,11,,28,4092,~1.78%,,,,1037,921,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GT 620M,N13P-GLP / N13M-GS,Fermi,625,715,1800,64 / 128,DDR3,1024,11,,40,4285,~3.342%,,4022.5n2,5269n2,1041.5n10,933.5n10,696n2,737.5n2,,,4219n8,7462n10,,,,,,,,,,,4989n9,521,
NVIDIA GeForce GT 525M,N12P-GE,Fermi,600,,900,128,"GDDR5, DDR3",1536,11,,40,4726,~9.525%,,,,901n11,799n11,,,,,3839.5n8,7058.5n8,25685,,,,,,,,,,4531n8,,
AMD Radeon HD 7610M,Thames-LE,Terascale 2,450,,1600,128,DDR3,,11,,40,4360,~3.538%,,4475,5242,849n3,749n3,592,605,,,3691n3,7100n3,,,,,,,,,,,6930n3,,
AMD Radeon HD 7620G,Trinity,Terascale 3,360,497,,,,,11,4.2,32,4231,~2.742%,,3064,5378,1030,948,659,716,,,2399,5553n2,,,,,,,,,,,4088,578,
AMD Radeon HD 7640G,Trinity,Terascale 3,497,686,,,,,11,4.2,32,4231,~6.725%,,,,704n2,655.5n2,,,,,2599n2,4173n2,18117,,,,,,,,,,4489.5n2,,
Intel HD Graphics 515,Skylake GT2,Gen. 9 Skylake,300,1000,,64/128,DDR3L/LPDDR3,,12_1,4.4,14,3027,~4.571%,56787n6,3850.5n26,5467n26,1115n29,1014n29,623.5n22,691.5n22,,,4672,6446n14,20345,73.2n5,36.7n5,27.7n2,,,,,,29.4n31,6088n15,704n5,416n4
Intel UHD Graphics 610,Kaby Lake GT1,Gen. 9 Kaby Lake,300,950,,64/128,DDR3/DDR4,,12_1,4.4,14,1809,~2.488%,42712.5n2,4333.5n2,5276.5n2,1045.5n2,922.5n2,616n2,663.5n2,222,194,3996,6902n2,,71.9,33.1,23.1,25.5,,,10.2,3.35n2,28.37n2,5209.5n2,481.5n2,304.5n2
Intel HD Graphics 610,Kaby Lake GT1,Gen. 9 Kaby Lake,300,950,,64/128,DDR3/DDR4,,12_1,4.4,14,2539,~2.583%,41956.5n4,4300n4,5281n4,996n5,880n5,566n5,607.5n4,223n2,194.5n2,3715,6386.5n2,,72.4,32.3,23.8,,,,11.8,3.3,26.21n4,5084n3,484,291
Intel HD Graphics 4400,Haswell GT2,Gen. 7.5 Haswell,200,1100,,64/128,,,11.1,4.0,22,3845,~4.171%,37082,3940n94,4953n91,828n97,735.5n94,525n84,569n81,,,3583n43,5164n54,20486,60.5n2,16.2,,,,,8.2n3,,20.37n58,6130n65,575n7,234n15
AMD Radeon HD 8610G,Richland,Terascale 3,533,626,,,,,11,4.2,32,3858,~1.854%,,2463,2749,941,889,441,475,,,2203,3538,,,15.9,,,,,,,17,3972,612,361
Intel HD Graphics 510,Skylake GT1,Gen. 9 Skylake,300,950,,64/128,DDR3/DDR4,,12_1,4.4,14,3027,~371%,43274,4721,5664,985,847,570,621,,,3798,7253,,121.9,64.6,51.7,,,,9.3,,27.98,7348,500,302
NVIDIA NVS 5200M,N13M-NS,Fermi,625,,1800,64,DDR3,1024,11,,28,4214,~3.346%,,4352n3,4949n3,1136n5,1008n5,671n3,704n3,,,4268n3,7502.5n4,,,,,,,,9.8,,,6266.5n4,,54
ATI Mobility Radeon HD 565v,,Terascale 1,675,,800,128,"GDDR3, DDR3, DDR2",,10.1,,55,4972,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 7550M,Thames-LP / Pro,Terascale 2,450,550,3200 / 1800,64,GDDR5 / DDR3,,11,,40,4360,~4.646%,,3573,4081,843n3,756n3,545,569,,,2927n3,4932n3,16206,,,,,,,7.4,,,4935,,
ATI Mobility Radeon HD 4670,M96-XT,Terascale 1,675,,800,128,"GDDR3, DDR2, DDR3",,10.1,,55,5453,~1317%,,,,,,,,,,3004.5n2,6828n3,24975n2,,,,,,,,,,4567n4,,
NVIDIA GeForce GT 425M,N11P-GS,Fermi,560,,800,128,DDR3,1024,11,,40,4870,~10.425%,,,,832n3,753n3,,,,,3380.5n8,6706.5n8,30484.5n4,,,,,,,,,,4098n10,,
NVIDIA GeForce 9700M GTS,NB9E-GS,G9x,530,,800,256,GDDR3,512,10,,65,5631,~14.617%,,,,,,,,,,2825n3,7779n2,28921,,,,,,,,,,3843,,
NVIDIA Quadro FX 2700M,NB9E-GLM2,G9x,530,,800,256,GDDR3,1024,10,,65,5601,~17.317%,,,,,,,,,,2799,7660,36280,,,,,,,,,,4394,,
NVIDIA GeForce GT 335M,N11P-GS1,GT200,450,,1066,128,"DDR3, GDDR3",1024,10.1,,40,5090,~10.517%,,,,,,,,,,3106n5,6892n5,18184n2,,,,,,,,,,3790.5n4,,
AMD Radeon HD 7600G,Trinity,Terascale 3,320,424,,,,,11,4.2,32,4122,~2.321%,,,,672n3,628n3,,,,,1639,3504n3,,,,,,,,,,,3637n3,,
ATI Mobility Radeon HD 3870,M88-XT,RV6xx,660,,850,256,GDDR3,,10.1,,55,5767,~12.317%,,,,,,,,,,3458,8635.5n2,21439,,,,,,,,,,3290,,
ATI Mobility Radeon HD 5165,,Terascale 1,600,,900,128,(G)DDR3,1024,10.1,,55,5090,~11.317%,,,,,,,,,,2789,6125,21269n2,,,,,,,,,,4367n2,,
ATI Mobility Radeon HD 560v,,Terascale 1,550,,800,128,"GDDR3, DDR3, DDR2",,10.1,,55,4972,~5.78%,,,,,,,,,,2459.5n2,6224,,,,,,,,,,,,,
ATI Mobility Radeon HD 4650,M96,Terascale 1,550,,800,128,"GDDR3, DDR2, DDR3",,10.1,,55,5453,~13.417%,,,,,,,,,,2412.5n6,6207n10,26779n14,,,,,,,,,,4973.5n14,,
NVIDIA GeForce GT 420M,N11P-GE,Fermi,500,,800,128,(G)DDR3,,11,,40,4851,~7.325%,,,,775,685,,,,,3051n2,6148n3,18904n2,,,,,,,,,,3464n4,,
AMD Radeon HD 7530M,Thames-LP,Terascale 2,450,,1800,64,DDR3,,11,,40,4360,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 3850,M88,RV6xx,580,,750,256,GDDR3,,10.1,,55,5858,~4.213%,,,,,,,,,,1879.5n2,6095n2,,,,,,,,,,,2756,,
NVIDIA GeForce GT 330M,N11P-GE1,GT2xx,575,,1066,128,"GDDR2, GDDR3, DDR3",1024,10.1,,40,5087,~12.917%,,,,,,,,,,2657.5n18,6232n21,26029.5n14,,,,,,,,,,3409n25,,
NVIDIA Quadro FX 880M,N10P-GLM,GT2xx,550,,790,128,"GDDR3, DDR3",1024,10.1,,40,5090,~15.817%,,,,,,,,,,2638.5n4,6378n5,33331n4,,,,,,,,,,4846n3,,
NVIDIA Quadro NVS 5100M,N10P-NS,GT2xx,550,,800,128,DDR3,1024,10.1,,40,5090,~12.517%,,,,,,,,,,2634,6325,24702,,,,,,,,,,3700n2,,
NVIDIA GeForce GT 240M,N10P-GS,GT2xx,550,,800,128,"DDR3, GDDR2, GDDR3",1024,10.1,,40,5296,~11.517%,,,,,,,,,,2371.5n4,5952n5,22708n10,,,,,,,,,,3466.5n10,,
AMD Radeon HD 7490M,Seymour XTX,Terascale 2,800,,3800,64,GDDR5,512,11,,40,4391,,,,,,,,,,,,,,,,,,,,,,,,,
Intel UHD Graphics (Elkhart Lake 16 EU),Gen. 11,,250,850,,,,,12_1,4.5,10,1068,~1.746%,30044,2873,3762,701,650,489,523,,,,,,,,,,,,,,14.24,4048,476,147
Intel UHD Graphics (Jasper Lake 16 EU),Gen. 11,Gen. 11,350,800,,,,,12_1,4.5,10,1068,~2.479%,43609.5n4,4596.5n8,4910.5n8,975.5n8,854n8,626n8,645n8,203n5,178n5,3411,6438n4,,56.25n2,30.7n2,16.45n2,,,,,3.5n2,26.24n8,5649.5n4,548n4,226n3
Intel UHD Graphics 605,Gemini Lake,Gen. 9 Apollo Lake,300,750,,64/128,DDR4 / LPDDR4,,12_1,4.4,14,2195,~1.788%,45008n9,3154n11,3359.5n10,748n14,648n13,419n11,454n10,129,113,2162,4171n3,,45.5n3,22.1n3,16.5n3,23.3,,,6.5,1.7,18.09n14,3773n7,490.5n2,142n2
Intel HD Graphics 505,Apollo Lake,Gen. 9 Apollo Lake,300,750,,64/128,,,12_1,4.4,14,2661,~1.675%,32480.5n6,2837.5n8,3413.5n8,679n16,620n16,383n7,408n7,107.5n4,94n4,2350.5n2,4302.5n2,,47.2,18.9,14.1,,,,,,16.63n16,3155n9,382,141.5n2
Intel HD Graphics 5300,Broadwell GT2,Gen. 8 Broadwell,100,900,,64/128,,,12 (FL 11_1),4.3,14,3388,~2.467%,59555n4,3041n20,3720n20,731n21,647n21,407n19,439n19,,,3104n2,4775n8,,55n5,30.1n3,,,,,7.6,,18.36n22,4018n17,518.5n2,210n3
AMD Radeon HD 7510M,Thames-LE,Terascale 2,450,,1600,64,DDR3,,11,,40,4360,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce Go 7950 GTX,G71M,G7x,575,,700,256,GDDR3,512,9c,,90,6273,~27.28%,,,,,,,,,,,5659n2,32000,,,,,,,,,,,,
NVIDIA Quadro FX 3500M,G71GLM,G7x,575,,700,256,GDDR3,512,9c,,90,6133,~7.74%,,,,,,,,,,,5254,,,,,,,,,,,,,
NVIDIA GeForce 9700M GT,NB9E-GE,G9x,625,,800,128,"GDDR2, GDDR3",512,10,,65,5672,~15.613%,,,,,,,,,,1749.5n2,5908.5n2,25300,,,,,,,,,,,,
NVIDIA GeForce GT 230M,N10P-GE,GT2xx,500,,800,128,"GDDR2, GDDR3",1024,10.1,,40,5296,~10.917%,,,,,,,,,,2363,5647,21595.5n2,,,,,,,,,,2819n2,,
ATI Mobility Radeon HD 550v,,Terascale 1,450,,600,128,"GDDR3, DDR3, DDR2",,10.1,,55,4972,~4.413%,,,,,,,,,,2214,5260,,,,,,,,,,,4733,,
