id,name,passmark
gpu4001,GeForce RTX 2070,16184
gpu4083,GeForce RTX 2070 (Mobile),12354
gpu4116,GeForce RTX 2070 SUPER,18255
gpu4204,GeForce RTX 2070 Super with Max-Q Design,13929
gpu4048,GeForce RTX 2070 with Max-Q Design,11891
gpu3989,GeForce RTX 2080,18792
gpu4084,GeForce RTX 2080 (Mobile),15107
gpu4123,GeForce RTX 2080 SUPER,19602
gpu4202,GeForce RTX 2080 Super with Max-Q Design,13808
gpu3991,GeForce RTX 2080 Ti,21839
gpu4041,GeForce RTX 2080 with Max-Q Design,13171
gpu4495,GeForce RTX 3050,12958
gpu4769,GeForce RTX 3050 4GB Laptop GPU,7041
gpu4782,GeForce RTX 3050 6GB Laptop GPU,10703
gpu4408,GeForce RTX 3050 Laptop GPU,9409
gpu4569,GeForce RTX 3050 OEM,12126
gpu4393,GeForce RTX 3050 Ti Laptop GPU,10181
gpu4345,GeForce RTX 3060,17089
gpu4342,GeForce RTX 3060 Laptop GPU,13413
gpu4318,GeForce RTX 3060 Ti,20598
gpu4283,GeForce RTX 3070,22460
gpu4331,GeForce RTX 3070 Laptop GPU,15527
gpu4413,GeForce RTX 3070 Ti,23757
gpu4497,GeForce RTX 3070 Ti Laptop GPU,18250
gpu4282,GeForce RTX 3080,25352
gpu4601,GeForce RTX 3080 12GB,26714
gpu4332,GeForce RTX 3080 Laptop GPU,16546
gpu4409,GeForce RTX 3080 Ti,27326
gpu4491,GeForce RTX 3080 Ti Laptop GPU,20208
gpu4284,GeForce RTX 3090,26863
gpu4524,GeForce RTX 3090 Ti,29875
gpu4763,GeForce RTX 4050 Laptop GPU,14693
gpu4850,GeForce RTX 4060,19573
gpu4752,GeForce RTX 4060 Laptop GPU,17989
gpu4827,GeForce RTX 4060 Ti,22554
gpu4898,GeForce RTX 4060 Ti 16GB,22760
gpu4795,GeForce RTX 4070,26888
gpu4756,GeForce RTX 4070 Laptop GPU,19614
gpu4699,GeForce RTX 4070 Ti,31744
gpu4622,GeForce RTX 4080,34621
gpu4736,GeForce RTX 4080 Laptop GPU,26229
gpu4606,GeForce RTX 4090,38867
gpu4737,GeForce RTX 4090 Laptop GPU,28534
gpu1467,GeForce2 Go,4
gpu1470,GeForce2 GTS/GeForce2 Pro,3
